station_id,STATION,NAME,lat,lng,Color,Hex,Branch,Blue,Brown,Green,Orange,Pink,Purple,Red,Yellow
40250,Kedzie-Homan-Forest Park,Kedzie,41.874341,-87.70604,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40260,State-Lake,State-Lake,41.88574,-87.627835,Brown Green Orange Pink Purple,#9C9C9C,Loop,No,Yes,Yes,Yes,Yes,Yes,No,No
40270,Main,Main,42.033456,-87.679538,Purple ,#522398,Linden,No,No,No,No,No,Yes,No,No
40280,Central-Lake,Central,41.887389,-87.76565,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40290,Ashland/63rd,Ashland/63rd,41.77886,-87.663766,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
40300,Indiana,Indiana,41.821732,-87.621371,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
40310,Western-Midway,Western,41.804546,-87.684019,Orange ,#f9461c,Midway,No,No,No,Yes,No,No,No,No
40320,Division-Milwaukee,Division,41.903355,-87.666496,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40330,Grand-State,Grand,41.891665,-87.628021,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40340,Berwyn,Berwyn,41.977984,-87.658668,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40350,UIC-Halsted,UIC,41.875474,-87.649707,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40360,Southport,Southport,41.943744,-87.663619,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
40370,Washington-Dearborn,Washington,41.883164,-87.62944,Blue ,#00a1de,Loop,Yes,No,No,No,No,No,No,No
40380,Clark-Lake,Clark-Lake,41.885737,-87.630886,Blue Brown Green Orange Pink Purple,#9C9C9C,Loop,Yes,Yes,Yes,Yes,Yes,Yes,No,No
40390,Forest Park,Forest Park,41.874257,-87.817318,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40400,Noyes,Noyes,42.058282,-87.683337,Purple ,#522398,Linden,No,No,No,No,No,Yes,No,No
40420,Cicero-Cermak,Cicero,41.85182,-87.745336,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
40430,Clinton-Forest Park,Clinton,41.875539,-87.640984,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40440,California-Cermak,California,41.854109,-87.694774,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
40450,95th-Dan Ryan,95th/Dan Ryan,41.722377,-87.624342,Red ,#c60c30,95th,No,No,No,No,No,No,Yes,No
